Iteration			Time(s)			State
0              		0.00000e+00		x: 200	z: 200	y: 200	
1              		4.19560e-10		x: 200	z: 196	y: 203	
2              		6.05874e-10		x: 200	z: 192	y: 206	
3              		7.53399e-10		x: 200	z: 188	y: 209	
4              		1.54668e-09		x: 200	z: 184	y: 212	
5              		1.56822e-09		x: 200	z: 180	y: 215	
6              		1.59175e-09		x: 200	z: 176	y: 218	
7              		1.72553e-09		x: 200	z: 172	y: 221	
8              		1.98731e-09		x: 200	z: 168	y: 224	
9              		2.55524e-09		x: 200	z: 164	y: 227	
10             		3.10272e-09		x: 200	z: 160	y: 230	
11             		3.54201e-09		x: 200	z: 156	y: 233	
12             		4.54222e-09		x: 200	z: 152	y: 236	
13             		5.65309e-09		x: 200	z: 148	y: 239	
14             		6.48128e-09		x: 200	z: 144	y: 242	
15             		7.00041e-09		x: 200	z: 140	y: 245	
16             		9.39694e-09		x: 200	z: 136	y: 248	
17             		1.20916e-08		x: 200	z: 132	y: 251	
18             		1.24612e-08		x: 200	z: 128	y: 254	
19             		1.64718e-08		x: 200	z: 124	y: 257	
20             		2.10324e-08		x: 200	z: 120	y: 260	
21             		2.31581e-08		x: 200	z: 116	y: 263	
22             		2.57007e-08		x: 200	z: 112	y: 266	
23             		2.81892e-08		x: 200	z: 108	y: 269	
24             		3.10731e-08		x: 200	z: 104	y: 272	
25             		3.60500e-08		x: 200	z: 100	y: 275	
26             		4.92013e-08		x: 200	z: 96	y: 278	
27             		6.47251e-08		x: 200	z: 92	y: 281	
28             		6.59256e-08		x: 200	z: 88	y: 284	
29             		1.11144e-07		x: 200	z: 84	y: 287	
30             		1.65792e-07		x: 200	z: 80	y: 290	
31             		1.90000e-07		x: 200	z: 76	y: 293	
32             		2.19624e-07		x: 200	z: 72	y: 296	
33             		2.28084e-07		x: 200	z: 68	y: 299	
34             		2.92765e-07		x: 200	z: 64	y: 302	
35             		3.02498e-07		x: 200	z: 60	y: 305	
36             		3.24321e-07		x: 200	z: 56	y: 308	
37             		4.15362e-07		x: 200	z: 52	y: 311	
38             		5.38878e-07		x: 200	z: 48	y: 314	
39             		6.55022e-07		x: 200	z: 44	y: 317	
40             		7.85172e-07		x: 200	z: 40	y: 320	
41             		8.90022e-07		x: 200	z: 36	y: 323	
42             		1.05269e-06		x: 200	z: 32	y: 326	
43             		2.64674e-06		x: 200	z: 28	y: 329	
44             		4.53942e-06		x: 200	z: 24	y: 332	
45             		6.05167e-06		x: 200	z: 20	y: 335	
46             		9.36833e-06		x: 200	z: 16	y: 338	
47             		1.13516e-05		x: 200	z: 12	y: 341	
48             		3.82699e-05		x: 200	z: 8	y: 344	
49             		3.84967e-05		x: 200	z: 4	y: 347	
50             		4.23080e-05		x: 199	z: 6	y: 347	
51             		1.11190e-03		x: 199	z: 2	y: 350	
52             		1.76411e-02		x: 198	z: 4	y: 350	
53             		1.78172e-02		x: 197	z: 6	y: 350	
54             		1.97210e-02		x: 197	z: 2	y: 353	
55             		2.00926e-02		x: 196	z: 4	y: 353	
56             		2.08530e-02		x: 195	z: 6	y: 353	
57             		2.27062e-02		x: 195	z: 2	y: 356	
58             		2.68685e-02		x: 194	z: 4	y: 356	
59             		3.51384e-02		x: 193	z: 6	y: 356	
60             		3.57919e-02		x: 193	z: 2	y: 359	
61             		4.43863e-02		x: 192	z: 4	y: 359	
62             		5.34686e-02		x: 191	z: 6	y: 359	
63             		5.38278e-02		x: 191	z: 2	y: 362	
64             		5.42578e-02		x: 190	z: 4	y: 362	
65             		8.05653e-02		x: 189	z: 6	y: 362	
66             		8.21353e-02		x: 189	z: 2	y: 365	
67             		8.95378e-02		x: 188	z: 4	y: 365	
68             		9.68913e-02		x: 187	z: 6	y: 365	
69             		9.69172e-02		x: 187	z: 2	y: 368	
70             		1.11404e-01		x: 186	z: 4	y: 368	
71             		1.13022e-01		x: 185	z: 6	y: 368	
72             		1.13797e-01		x: 185	z: 2	y: 371	
73             		1.16695e-01		x: 184	z: 4	y: 371	
74             		1.18827e-01		x: 183	z: 6	y: 371	
75             		1.19333e-01		x: 183	z: 2	y: 374	
76             		1.21753e-01		x: 182	z: 4	y: 374	
77             		1.22728e-01		x: 181	z: 6	y: 374	
78             		1.23502e-01		x: 181	z: 2	y: 377	
79             		1.65834e-01		x: 180	z: 4	y: 377	
80             		1.68025e-01		x: 179	z: 6	y: 377	
81             		1.70471e-01		x: 179	z: 2	y: 380	
82             		1.86560e-01		x: 178	z: 4	y: 380	
83             		1.99967e-01		x: 177	z: 6	y: 380	
84             		2.01262e-01		x: 177	z: 2	y: 383	
85             		2.09474e-01		x: 176	z: 4	y: 383	
86             		2.14548e-01		x: 175	z: 6	y: 383	
87             		2.16305e-01		x: 175	z: 2	y: 386	
88             		2.17035e-01		x: 174	z: 4	y: 386	
89             		2.17231e-01		x: 173	z: 6	y: 386	
90             		2.17279e-01		x: 173	z: 2	y: 389	
91             		2.25060e-01		x: 172	z: 4	y: 389	
92             		2.26929e-01		x: 171	z: 6	y: 389	
93             		2.27376e-01		x: 171	z: 2	y: 392	
94             		2.27851e-01		x: 170	z: 4	y: 392	
95             		2.28198e-01		x: 169	z: 6	y: 392	
96             		2.28280e-01		x: 169	z: 2	y: 395	
97             		2.31547e-01		x: 168	z: 4	y: 395	
98             		2.56966e-01		x: 167	z: 6	y: 395	
99             		2.57262e-01		x: 167	z: 2	y: 398	
100            		2.67842e-01		x: 166	z: 4	y: 398	
101            		2.73520e-01		x: 165	z: 6	y: 398	
102            		2.74062e-01		x: 165	z: 2	y: 401	
103            		2.76428e-01		x: 164	z: 4	y: 401	
104            		2.86595e-01		x: 163	z: 6	y: 401	
105            		2.86772e-01		x: 163	z: 2	y: 404	
106            		2.94112e-01		x: 162	z: 4	y: 404	
107            		3.01497e-01		x: 161	z: 6	y: 404	
108            		3.01902e-01		x: 161	z: 2	y: 407	
109            		3.18196e-01		x: 160	z: 4	y: 407	
110            		3.34591e-01		x: 159	z: 6	y: 407	
111            		3.36485e-01		x: 159	z: 2	y: 410	
112            		3.56322e-01		x: 158	z: 4	y: 410	
113            		3.76285e-01		x: 157	z: 6	y: 410	
114            		3.77565e-01		x: 157	z: 2	y: 413	
115            		3.85962e-01		x: 156	z: 4	y: 413	
116            		3.94412e-01		x: 155	z: 6	y: 413	
117            		3.95212e-01		x: 155	z: 2	y: 416	
118            		4.05445e-01		x: 154	z: 4	y: 416	
119            		4.06496e-01		x: 153	z: 6	y: 416	
120            		4.08032e-01		x: 153	z: 2	y: 419	
121            		4.10849e-01		x: 152	z: 4	y: 419	
122            		4.23219e-01		x: 151	z: 6	y: 419	
123            		4.25830e-01		x: 151	z: 2	y: 422	
124            		4.28173e-01		x: 150	z: 4	y: 422	
125            		4.28775e-01		x: 149	z: 6	y: 422	
126            		4.31388e-01		x: 149	z: 2	y: 425	
127            		4.31494e-01		x: 148	z: 4	y: 425	
128            		4.31601e-01		x: 147	z: 6	y: 425	
129            		4.31826e-01		x: 147	z: 2	y: 428	
130            		4.46712e-01		x: 146	z: 4	y: 428	
131            		4.50433e-01		x: 145	z: 6	y: 428	
132            		4.51187e-01		x: 145	z: 2	y: 431	
133            		4.63806e-01		x: 144	z: 4	y: 431	
134            		4.64004e-01		x: 143	z: 6	y: 431	
135            		4.64044e-01		x: 143	z: 2	y: 434	
136            		4.72261e-01		x: 142	z: 4	y: 434	
137            		4.77147e-01		x: 141	z: 6	y: 434	
138            		4.77627e-01		x: 141	z: 2	y: 437	
139            		4.80074e-01		x: 140	z: 4	y: 437	
140            		4.81749e-01		x: 139	z: 6	y: 437	
141            		4.84958e-01		x: 139	z: 2	y: 440	
142            		4.98686e-01		x: 138	z: 4	y: 440	
